logFC	AveExpr	t	P.Value	adj.P.Val	B
5047	4.01940491532949	6.01544136871872	4.08629542057207	0.000148654721703902	0.00879422667000989	0.834725557565188
3952	3.33747708223268	6.96604743885277	3.69268490208848	0.000524179098427401	0.0200084194971152	-0.323833445410841
3290	-2.98574585743947	6.31267206647123	-3.9684860958197	0.000218079713231807	0.0114292001477981	0.481439465908836
2213	-2.9112798359525	8.42184947772199	-7.28766177099212	1.52387772910962e-09	3.54824044382254e-06	11.5484912301742
730	-2.77738434070568	7.36867813168212	-4.84031067998871	1.15479738343022e-05	0.0015685035460441	3.20490117576442
1672	2.57126008993107	4.22899954037355	5.28555530816012	2.39207953216458e-06	0.000498044901776736	4.67324705316101
652995	2.559116797037	7.4673952973944	5.04991814272018	5.53059486828642e-06	0.000866761209213466	3.89105360819115
3046	2.53693444759874	5.73092311340145	7.13631562343703	2.67245152248885e-09	4.86102610855637e-06	11.0247515087444
4246	2.45607368060905	3.57165358084526	6.93974936195043	5.54429356378163e-09	8.21513098146153e-06	10.343826592934
55273	-2.34372770908077	4.96114990101957	-8.14169112056913	6.4854135636547e-11	4.40196271550435e-07	14.4836491444983
3294	-2.26285455755986	8.11398219214751	-4.85005363840866	1.11618671927463e-05	0.00154175655402179	3.23657238276345
653	-2.20172862991466	6.70889804904942	-3.6245655056325	0.000647924994477748	0.0232838252123057	-0.517676058645569
3569	-2.16530854855721	5.30314379306684	-3.80136052093863	0.00037233645604542	0.0159702944660113	-0.0103381322367593
51751	-2.10372375698745	6.66638368309747	-6.45148386465781	3.3888996630111e-08	3.24353510986241e-05	8.65269945298347
5473	-2.09438120581145	6.00367576862565	-4.54882822521434	3.16017603324362e-05	0.0029432976666193	2.26858185772186
2888	-2.08998260018767	5.49896648522055	-4.63784398157769	2.32908771867801e-05	0.00232894482986092	2.55212231571526
174	2.08994736365873	3.37673361919096	7.87582365272739	1.72687300213158e-10	7.03657576543567e-07	13.5747555086382
4072	2.05964040894024	4.20457492010178	5.15862218496458	3.76192537379515e-06	0.000653682315252537	4.2505788605144
6279	-2.0592307066312	7.21262412240108	-3.52645620917708	0.000876187732416531	0.0289675128816573	-0.793109544832771
3620	-2.03601939668246	6.5810691548852	-3.99625286332491	0.000199333623111937	0.0106522581085294	0.564228209462477
6590	2.03249999318513	5.89554660013949	3.83978354002762	0.000329557991481121	0.0148794063799191	0.101709617033988
7103	2.02504783969042	3.20529097208102	6.3492994349911	4.94465567236166e-08	3.66331558199194e-05	8.29951576719079
6943	-2.01578935223843	7.0705004201782	-4.22006824818434	9.56484480042342e-05	0.00655031115134879	1.24208618178655
10103	1.98785754701023	5.0907970941399	3.35324873588234	0.00147738925990007	0.0408827971937372	-1.26804453632608
6347	-1.97063520839328	6.95396767269215	-3.56051408145296	0.000789405224905295	0.0271026913142151	-0.698005951811235
4223	-1.93052501688182	6.43752335282446	-3.99258610118111	0.000201716880407805	0.0107443903064275	0.553278320187597
84701	-1.91832743139344	6.85301618129753	-4.5937027744123	2.71029744459824e-05	0.00264521784727585	2.4112426087631
58494	-1.90455176929392	7.09285099946087	-5.05748701560977	5.38457341353856e-06	0.000852069534633641	3.91600946243167
51299	-1.89786044417691	5.98695150184642	-5.21489667392215	3.07885040526999e-06	0.000576806698339029	4.43760105756528
4495	1.89270320053754	5.66625959077477	4.45629758701407	4.32987498183632e-05	0.00356427436004799	1.97626320043314
5175	-1.8682154024604	8.53699456368957	-5.38532049618889	1.67257354810646e-06	0.000389446803722673	5.00742609508675
9365	-1.86191525748411	5.53400231307084	-5.39971726759944	1.58819481154708e-06	0.000381358641700811	5.05578469923697
56892	-1.86010466955404	6.86785609246669	-4.95434974719185	7.74568612769813e-06	0.00110742928241537	3.57699353037567
10406	1.8527983759087	5.43008615678547	4.81830468168056	1.24689185247604e-05	0.00161646835079966	3.13345082812995
213	1.82317529824764	3.32515963362544	6.67707184869688	1.46943593429795e-08	1.99586135776019e-05	9.43360283921019
1805	-1.80493328658914	5.79320856323799	-4.47932758404535	4.00436423016579e-05	0.00340376552168886	2.04878099547185
221303	-1.77777932966628	7.16204246414982	-5.91221792499758	2.46944739271553e-07	0.000116852121082882	6.79562046512015
5196	-1.74499078215769	6.24010587496733	-5.738473058195	4.65797042678206e-07	0.000185171365819807	6.20223414366578
9120	1.74001445289189	4.09410039913155	4.78223792922391	1.41363487978173e-05	0.0017377207296168	3.01660289746987
79625	-1.72077339660115	6.22423838577541	-4.82856294919715	1.20309818443975e-05	0.0015945715205345	3.16674340066643
4826	-1.71702500356972	6.79515458203157	-5.58115674919226	8.24940043747546e-07	0.000253692410812099	5.66790605246651
948	-1.70643446042954	7.73389271575539	-3.38867399897552	0.00132913949856384	0.0379398330772189	-1.17212348817373
2810	1.70452581901453	6.41774192854523	3.92991002862407	0.000246969511002186	0.0123857109533066	0.366923884256746
2357	-1.70025327809068	6.24239462222611	-4.30409344531556	7.22933199981282e-05	0.00529602464560648	1.50114282610033
2791	-1.69645473732874	7.78632877579875	-4.65852525621674	2.16903483701876e-05	0.0022375378992765	2.61831170310148
24	1.69042501217032	4.53323103887541	8.08116771545954	8.10226894074057e-11	4.40196271550435e-07	14.2772185349381
5166	-1.67182337012077	7.87095605309032	-3.61291802121654	0.000671705542541002	0.0238521321086618	-0.550609533885864
81575	-1.66258817653267	6.07400508577149	-5.16331648580343	3.69965042170437e-06	0.000653682315252537	4.26615702667287
121506	1.6485634820798	5.21024812428088	4.17500781966705	0.000111038175964509	0.00718179059541879	1.10415815340189
2018	1.62034666815976	4.06819860012001	4.29473994493167	7.45898786158065e-05	0.00540329080692903	1.47218799637321
51673	-1.61557918021989	7.92799825833782	-3.43972213127603	0.00114012540669007	0.0342226593068904	-1.03278873051225
6357	-1.6133906462553	5.55254194110489	-3.86046208341403	0.000308534592151574	0.014327080676577	0.162266504170153
92737	1.59924264865523	3.8973202032763	4.47966758236225	3.99974211736496e-05	0.00340376552168886	2.04985279095591
10082	1.58806624322249	4.56349838380862	7.11903642169985	2.84950164437613e-09	4.86102610855637e-06	10.9649198760196
51338	-1.58669029880236	6.6722186493641	-5.22842124880554	2.93384628614626e-06	0.000560681408585094	4.48263607937846
10563	1.58158814212836	3.35497190268772	4.12572528953401	0.000130618344775869	0.00803376755283731	0.954128415619513
145741	1.58021176236199	4.86166860132545	6.57801355328506	2.12131733849079e-08	2.30502342000409e-05	9.09054123369862
54536	-1.57230016535931	6.88136443684024	-4.01838647327544	0.000185514894502805	0.0102152272483149	0.63043480979688
6332	-1.57098095774151	4.5039239870442	-4.5297564578833	3.37275422844217e-05	0.00308651708521827	2.20812527480688
90865	-1.5674509172955	4.97830099036081	-4.58289856617985	2.81252279780254e-05	0.00272661655929908	2.37684281241282
722	1.56676575937671	4.15742261209394	6.5378560932215	2.46153907855246e-08	2.50753909008291e-05	8.95152974889328
4494	1.5664947033554	6.53391029731089	4.08575587586527	0.000148917514014524	0.00879422667000989	0.833095649381359
10673	-1.56409863882724	5.85931736368062	-5.37658278329711	1.72592844145369e-06	0.000396209967144418	4.97809231447328
3934	1.55805960257391	5.43498342901941	3.62490300987589	0.000647248061642952	0.0232838252123057	-0.516720831795163
5322	-1.53438876357205	5.83482425600827	-5.02320013062589	6.0778788029682e-06	0.000925825669248399	3.80305534574428
10647	1.53245861670286	3.36329919114684	5.15802413295725	3.76993297955326e-06	0.000653682315252537	4.24859451137893
10894	-1.53170751300061	7.99470439997938	-4.27606723370837	7.93885985434817e-05	0.0056990501578069	1.41447143576236
7123	-1.52840002481868	7.14297383491195	-3.88118646219282	0.000288762876064248	0.013842782696974	0.223134399143004
3284	-1.51305344617247	4.04746547874642	-6.0879029155182	1.29604964934836e-07	8.12473585951115e-05	7.39849344061235
4332	-1.51172920914289	5.10763360380635	-3.94329769175507	0.000236548395639491	0.0121387645471803	0.40659934394108
2983	-1.50744123072463	6.33039150537436	-4.7645687344163	1.50311484731e-05	0.0018010634054129	2.95947661585868
6280	-1.50565264439493	8.55340200951352	-4.8099483745099	1.283718141695e-05	0.00164750566862101	3.10634987293951
